"Texte_Descriptif";"APE_Propose";"APE_DV2";"APE_DV3";"Selection";"Nature_Activites";"CodeRetour_DV2"
"Elevage de vaches laitières - ,Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";;"0111Y";"0150Y";;;"SUCCES_ECHO"
"Elevage de volailles,Culture de céréales";"0150Y";"0150Y";"0150Y";;;"SUCCES_ECHO"
"ENERGETICIEN";"8696Y";"8696Y";"9699H";1;;"SUCCES_ECHO"
"ENERGETICIEN";"8696Y";"8696Y";"9699H";;;"SUCCES_ECHO"
"ENERGETICIEN";;"8696Y";"9699H";;;"SUCCES_ECHO"
"ENERGETICIEN";"8696Y";"8696Y";"9699H";;;"SUCCES_ECHO"
"ENERGETICIENNE";"8696Y";"8696Y";"9699H";1;;"SUCCES_ECHO"
"ENERGETICIENNE";"8696Y";"8696Y";"9699H";;;"SUCCES_ECHO"
"ENLEVEMENT ET LIVRAISON DE MARCHANDISES";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"ENLEVEMENT ET LIVRAISON DE MARCHANDISES";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"ENLEVEMENT ET LIVRAISON DE MARCHANDISES NON REGLEMENTE A VELO.";;"5320G";"5320H";;;"SUCCES_ECHO"
"ENLEVEMENT ET LIVRAISON DE MARCHANDISES NON REGLEMENTE A VELO.";"5320G";"5320G";"5320H";1;;"SUCCES_ECHO"
"Enseignante en Activité Physique Adaptée et Santé. Cours individuels et/ou collectifs à destination des publics ayant des fragilités de sant";"8695Y 8696Y ?";"8551Y";"8559H";;;"SUCCES_ECHO"
"ENSEIGNEMENT DES ARTS DU SPECTACLE VIVANT";"8552Y";"8552Y";"8552Y";1;;"SUCCES_ECHO"
"entraînement de chevaux de course";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"ENTREPRENEUR DE TRAVAUX FORESTIERS";"NC";"0240Y";"0240Y";;;"SUCCES_ECHO"
"ENTREPRENEUR DE TRAVAUX FORESTIERS";"0240Y";"0240Y";"0240Y";;;"SUCCES_ECHO"
"ENTRETIEN DE LA MAISON ET TRAVAUX MENAGERS";"9691Y";"9691Y";"8121Y";;;"SUCCES_ECHO"
"ENTRETIEN DE LA MAISON ET TRAVAUX MENAGERS";"9691Y";"9691Y";"8121Y";;;"SUCCES_ECHO"
"ENTRETIEN DE LA MAISON ET TRAVAUX MENAGERS";;"9691Y";"8121Y";;;"SUCCES_ECHO"
"ENTRETIEN DE LA MAISON ET TRAVAUX MENAGERS";;"9691Y";"8121Y";;;"SUCCES_ECHO"
"ENTRETIEN DE LA MAISON ET TRAVAUX MENAGERS";;"9691Y";"8121Y";;;"SUCCES_ECHO"
"ENTRETIEN DE LA MAISON ET TRAVAUX MENAGERS";"9691Y";"9691Y";"8121Y";;;"SUCCES_ECHO"
"Epicerie à distance";"4727H";"4791Y";"9699H";;;"SUCCES_ECHO"
"EPICERIE SOLIDAIRE";"4711G";"4711G";;1;;"SUCCES_ECHO"
"ESOTERISME";"9699H";"8696Y";;;;"SUCCES_ECHO"
"ESOTERISME";"9699H";"8696Y";;;;"SUCCES_ECHO"
"Etude faisabilité, réalisation de visuel, conseil en choix des matériaux, estimation des travaux lors d'une rénovation immobilière.";"7112Y";"7499Y";"7499Y";1;;"SUCCES_ECHO"
"EVENEMENTS TOUT PUBLIC POUR LA PROMOTION DU BIEN ETRE LA SANTE MENTALE ET LA CREATIVITE";"Retour déclarant";"9329Y";"9699H";;;"SUCCES_ECHO"
"EXPLOITANT DE VOITURE DE TRANSPORT AVEC CHAUFFEUR (VTC)";;"4933H";"4933H";;;"SUCCES_ECHO"
"EXPLOITANT DE VOITURE DE TRANSPORT AVEC CHAUFFEUR (VTC)";"4933H";"4933H";"4933H";1;;"SUCCES_ECHO"
"exploitation agricole et exploitation des terres mises à la disposition de la société.";"Retour déclarant";"7820H";"7820H";;;"SUCCES_ECHO"
"EXPLOITATION DE VEHICULE DE TOURISME AVEC CHAUFFEUR";"4933H";"4933G";"4933H";1;;"SUCCES_ECHO"
"EXPLOITATION DE VEHICULE DE TOURISME AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"EXPLOITATION DE VEHICULE DE TRANSPORT AVEC CHAUFFEUR";"4932H";"4933G";"4933H";;;"SUCCES_ECHO"
"EXPLOITATION DE VEHICULE DE TRANSPORT AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"EXPLOITATION DE VOITURE DE TOURISME AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"EXPLOITATION DE VOITURE DE TOURISME AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"EXPLOITATION DE VOITURE DE TRANSPORT AVEC CHAUFFEUR";;"4933G";"4933H";;;"SUCCES_ECHO"
"EXPLOITATION DE VOITURE DE TRANSPORT AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"Exploitation et gestion de biens agricoles";"Retour déclarant";"6832H";"6832H";;;"SUCCES_ECHO"
"Exploitation et gestion de biens agricoles";"Retour déclarant";"6832H";"6832H";;;"SUCCES_ECHO"
"Exploitation et gestion de biens agricoles";"Retour déclarant";"6832H";"6832H";;;"SUCCES_ECHO"
"EXPLOITATION ET GESTION DE BIENS AGRICOLES - culture de pommes de terre - ENTREPRISE DE TRAVAUX AGRICOLES ET HORTICOLE";"0113Y";"0161Y";"0113Y";;;"SUCCES_ECHO"
"EXPLOITATION ET GESTION DE BIENS AGRICOLES - culture de pommes de terre - TRAVAUX AGRICOLES ET HORTICOLES";"0111Y";;"0113Y";;"Activité de services";"ERREUR_HTTP_200"
"EXPOSITION D’ART CONTEMPORAIN";"9121Y";"9121Y";"4769Y";;;"SUCCES_ECHO"
"EXPOSITION DE PEINTURE";"9121Y";"9013Y";;;;"SUCCES_ECHO"
"EXPOSITIONS ARTISTIQUES CERAMISTES";"9121Y";"9013Y";"9121Y";;;"SUCCES_ECHO"
"Extra en restauration";"8299Y";"5611G";"5621Y";;;"SUCCES_ECHO"
"FABRICATION D'OBJETS EN BOIS";"1628Y";"1628Y";"1628Y";1;;"SUCCES_ECHO"
"FABRICATION D'OBJETS EN BOIS";"1628Y";"1628Y";"1628Y";;;"SUCCES_ECHO"
"FABRICATION D'OBJETS EN METAL";"2599Y";"2599Y";"2599Y";1;;"SUCCES_ECHO"
"FABRICATION D'OBJETS EN METAL";"2599Y";"2599Y";"2599Y";;;"SUCCES_ECHO"
"Fabrication de bijoux en métaux précieux";"3213Y";"3212Y";;;;"SUCCES_ECHO"
"FABRICATION DE COSTUMES DE SCENE";;"9039H";"1421Y";;;"SUCCES_ECHO"
"Fabrication de stylos.";"3299Y";"3299Y";"3299Y";;;"SUCCES_ECHO"
"Fabrication et développement de pneus, vente de pneus, vente de produits et accessoires pour moto et cycles.";"2211Y";"3091Y";;;;"SUCCES_ECHO"
"FABRICATION ET VENTE D'OBJETS EN JESMONITE ET RESINE EPOXY";"3299Y";"3299Y";"2226Y";;;"SUCCES_ECHO"
"Fabrication et vente de meubles à structures bois, acier et céramique.";"3100H";"3100G";;;;"SUCCES_ECHO"
"Faire émerger des processus métiers efficients grâce à l'intelligence artificielle.";"7499Y";"6210Y";"6210Y";;;"SUCCES_ECHO"
"FAVORISER LE RAYONNEMENT EN FRANCE ET A L’ETRANGER DE LA MUSIQUE ET DES ARTS";;"4649Y";"8552Y";;;"SUCCES_ECHO"
"ferronnerie décorative";"4335Y";"2540Y";"2540Y";;;"SUCCES_ECHO"
"Fleurs naturelles et artificielles.";"4776Y";"4776Y";"4776Y";;;"SUCCES_ECHO"
"Fonds de commerce de nettoyage général, dératisation, désinsectisation, désinfection, transport rapide et déménagements.";"8121Y";"8123G";"8123G";;;"SUCCES_ECHO"
"FORMATEUR";"8559H";"8559G";"8559G";;;"SUCCES_ECHO"
"FORMATEUR";"8559G";"8559G";"8559G";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT A L'ART ORATOIRE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT A L'ART ORATOIRE";;"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT A LA SECURITE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT A LA SECURITE";;"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT A LA SECURITE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT A LA SECURITE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT EN INFORMATIQUE";;"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT EN INFORMATIQUE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT EN INFORMATIQUE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT EN INFORMATIQUE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT EN INFORMATIQUE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATEUR INDEPENDANT EN INFORMATIQUE";"8559H";"8559H";"8559H";;;"SUCCES_ECHO"
"FORMATION";"8559H";"8559G";"8559G";;;"SUCCES_ECHO"
"FORMATION";"RAS";"8559G";"8559G";;;"SUCCES_ECHO"
"FORMATION AU CHANT CHORAL PRATIQUE EN ATELIER ET EN SPECTACLE";"8552Y";"8552Y";"8552Y";1;;"SUCCES_ECHO"
"FORMATION DES INTERNES EN CHIRURGIE DIGESTIVE";"8559G";;"8622Y";;;"ERREUR_HTTP_200"
"Formations en développement personnel et professionnel, médiation animale";"8559H";"9699G";"9699H";;;"SUCCES_ECHO"
"FORMATRICE";;"8559G";"8559G";;;"SUCCES_ECHO"
"FORMATRICE";"NC";"8559G";"8559G";;;"SUCCES_ECHO"
"FORMER, TRANSMETTRE LE SAVOIR CHIRURGICAL ENVERS LES CHIRURGIENS FRANCAIS";"8559G";"8559H";"8559H";;;"SUCCES_ECHO"
"FRET EXPRESS DE MARCHANDISES, SERVICES DE MESSAGERIE";"4941H";"5231Y";"4941G";;;"SUCCES_ECHO"
"FRET EXPRESS DE MARCHANDISES, SERVICES DE MESSAGERIE";"5225Y";"5231Y";"4941G";;;"SUCCES_ECHO"
"Gavage de canards";"0162Y";"0162Y";"0162Y";;;"SUCCES_ECHO"
"GENERER DES PROJETS LIES A UNE REFLEXION AUTOUR DE L’EDUCATION POPULAIRE ET LAIQUE";"9499Y";"9329Y";"9531G";;;"SUCCES_ECHO"
"GESTION D’UN LOCAL DE REPETITIONS POUR CONCERTS";"9031H";"9031H";"8552Y";;;"SUCCES_ECHO"
"Gestion de réseaux sociaux pour créateurs de contenu, monétisation de contenu numérique";"7330Y";"5813Y";"5813Y";;;"SUCCES_ECHO"
"Gestion des différents réseaux sociaux d'une entreprise (publications, vidéos, publicité, stratégie, interactions";"5813Y";"7330Y";"5813Y";;;"SUCCES_ECHO"
"GESTION ET DEVELOPPEMENT D’UNE BILIOTHEQUE";;"8240Y";"6210Y";;;"SUCCES_ECHO"
"Gestion et promotion de contenu digital sur les réseaux sociaux, marketing en ligne et monétisation de plateformes numériques";"7311Y";"6039Y";"6210Y";;;"SUCCES_ECHO"
"Gestion et suivi des dossiers dans un cabinet d'avocat";;"8210Y";"8210Y";;;"SUCCES_ECHO"
"gestion hebergements touristiques";"6831Y";"5520Y";"5520Y";;;"SUCCES_ECHO"
"Goods storage in Amazon FBA and selling goods to consumers in France and EU";"4712H";"4791Y";;;;"SUCCES_ECHO"
"GRAPHISME";"7412Y";"1813Y";"1813Y";1;;"SUCCES_ECHO"
"GRAPHISME";"7412Y";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"/";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"/";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"7412Y";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"7412Y";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"7412Y";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"RAS";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"7411Y";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISME";"7412Y";"1813Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";;"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"Graphiste";"7412Y";"9012Y";"1813Y";;;"SUCCES_ECHO"
"GRAPHISTE MULTIMEDIA ET DIFFUSION PAR DES PROCEDES ET DES TECHNIQUES AUTRES QUE RELEVANT DE L'ARTISANAT";;"7412Y";"9510Y";;;"SUCCES_ECHO"
"GRAPHISTE MULTIMEDIA ET DIFFUSION PAR DES PROCEDES ET DES TECHNIQUES AUTRES QUE RELEVANT DE L'ARTISANAT";"7412Y";"7412Y";"9510Y";1;;"SUCCES_ECHO"
"Graphiste, conception de supports";"7412Y";"7311Y";"6210Y";1;;"SUCCES_ECHO"
"GRAVURE, ESTAMPE, LITHOGRAPHIE ET COLLAGE";"NC";"1813Y";"5510Y";;;"SUCCES_ECHO"
"GRAVURE, ESTAMPE, LITHOGRAPHIE ET COLLAGE";"1813Y";"1813Y";"5510Y";;;"SUCCES_ECHO"
"GUIDE DE HAUTE MONTAGNE";"9319Y";"9319Y";"9319Y";1;;"SUCCES_ECHO"
"GUIDE DE HAUTE MONTAGNE";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"GUIDE INTERPRETE";"7990Y";;"7990Y";1;;"ERREUR_HTTP_200"
"GUIDE INTERPRETE";;;"7990Y";;;"ERREUR_HTTP_200"
"GUIDE OU ACCOMPAGNATEUR DE MONTAGNE (MOYENNE, HAUTE)";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"GUIDE OU ACCOMPAGNATEUR DE MONTAGNE (MOYENNE, HAUTE)";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"GUIDE OU ACCOMPAGNATEUR DE MONTAGNE (MOYENNE, HAUTE)";"9318Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"GUIDE OU ACCOMPAGNATEUR DE MONTAGNE (MOYENNE, HAUTE)";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"GUIDE TOURISTIQUE";"7990Y";"7990Y";"7990Y";1;;"SUCCES_ECHO"
"GUIDE TOURISTIQUE";"/";"7990Y";"7990Y";;;"SUCCES_ECHO"
"holding active";"7010Y";"7010Y";"7010Y";;;"SUCCES_ECHO"
"Holding, détention et prise de participation directe ou indirecte dans le capital de société, groupement ou entités juridiques de tous types";"7010Y";"7010Y";"8210Y";;;"SUCCES_ECHO"
"HOMME TOUTES MAINS";"8110Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"HOMME TOUTES MAINS";"8110Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"HOMME TOUTES MAINS";"8110Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"HOMME TOUTES MAINS";"8110Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"HOMME TOUTES MAINS";"8110Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"HOMME TOUTES MAINS";"8110Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"Hommes a toutes mains";"8110Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"Hote de reception en magasin de luxe";"9699H";"4360Y";;;;"SUCCES_ECHO"
"Hypnothérapeute";"8696Y";"8693Y";"8696Y";1;;"SUCCES_ECHO"
"ILLUSTRATION (DESSIN, PEINTURE, PHOTO,...) TOUS SUPPORTS (LIVRE, OBJET, WEB,...)";"9012Y";"9012Y";"9012Y";1;;"SUCCES_ECHO"
"ILLUSTRATION (DESSIN, PEINTURE, PHOTO,...) TOUS SUPPORTS (LIVRE, OBJET, WEB,...)";;"9012Y";"9012Y";;;"SUCCES_ECHO"
"impression 3D";"2226Y ?";"9529H";"1813Y";;"Installation et réparation";"SUCCES_ECHO"
"influenceur youtube";"5911H";"5812Y";"5812Y";;;"SUCCES_ECHO"
"INFOGRAPHISTE";"7412Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"INFOGRAPHISTE";"7412Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"INFOGRAPHISTE";"1813Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"INFOGRAPHISTE";"7412Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"INFOGRAPHISTE";"7412Y";"7411Y";"7412Y";1;;"SUCCES_ECHO"
"INFOGRAPHISTE";"7412Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"INFOGRAPHISTE";"7412Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"INFOGRAPHISTE";"7412Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"Infographiste";"1813Y";"7411Y";"7412Y";;;"SUCCES_ECHO"
"INGENIEUR CONSEIL";"7112Y";"7112Y";"7112Y";1;;"SUCCES_ECHO"
"INGENIEUR CONSEIL";;"7112Y";"7112Y";;;"SUCCES_ECHO"
"INGENIEUR EXPERT";"NC";"7112Y";"7112Y";;;"SUCCES_ECHO"
"INGENIEUR EXPERT";"7112Y";"7112Y";"7112Y";1;;"SUCCES_ECHO"
"INSTALLATION INFORMATIQUE, ADMINISTRATION DES INFRASTRUCTURES";"6220H";"6220H";"6290Y";;;"SUCCES_ECHO"
"INSTALLATION INFORMATIQUE, ADMINISTRATION DES INFRASTRUCTURES";"6220H";"6220H";"6290Y";;;"SUCCES_ECHO"
"Instruction de vol sur simulateur pour grand public";"8553Y";"9329Y";"8553Y";;;"SUCCES_ECHO"
"Je propose des services digitaux. Aide à la vente, aide marketing, et conseils business.";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"KINESIOLOGIE";"8696Y";"8699Y";"9699H";1;;"SUCCES_ECHO"
"KINESIOLOGIE";"8696Y";"8699Y";"9699H";;;"SUCCES_ECHO"
"L'activité concerne exclusivement les missions de représentation d'une marque donnée et de sa promotion";"Retour déclarant";"7311Y";"7311Y";;;"SUCCES_ECHO"
"L'activité consiste à réaliser des interventions de courtes durées et de faible technicité au domicile des particuliers. Ces prestations incluent : montage et fixation de meubles, pose d'étagères, tringles, cadres, tableaux, rebouche de trous et petites réparations de peinture, installation et remplacement d'accessoires (portes, poignées, etc), et l'entretien et la réparation d'équipements domestiques simples.";"8110Y";"9691Y";;;;"SUCCES_ECHO"
"l'activité est Loueur en Meublé Non Professionnel (LMNP)";"6820G";"5590Y";"6820G";;;"SUCCES_ECHO"
"L'EXPLOITATION DE VEHICULES DE TOURISME AVEC CHAUFFEUR";"4932H";"4933G";"4933H";;;"SUCCES_ECHO"
"L'EXPLOITATION DE VEHICULES DE TOURISME AVEC CHAUFFEUR";"4933H";"4933G";"4933H";;;"SUCCES_ECHO"
"L'exploitation et la gestion de biens agricoles dont elle est propriétaire, locataire ou bénéficiaire de mises à disposition, et généralement l'exercice d'activités réputées agricoles au sens de l'article 2 de la loi du 30 décembre 1988.";"Retour déclarant";"0111Y";"5520Y";;;"SUCCES_ECHO"
"L'EXPLOITATION ET LA GESTION DE TOUS BIENS AGRICOLES";"Retour déclarant";"0111Y";"0161Y";;;"SUCCES_ECHO"
"L'exploitation, la culture et le développement de toutes terres à vocation agricole, pour toutes plantations, cultures ou élevages jugés appropriés, ainsi que l'acquisition de toutes terres non agricoles, en vue de les convertir aux fins précitées, - L'acquisition, la prise à bail, l'exploitation de tous biens agricoles, soit directement, soit par voie de fermage, de métayage, de mise à disposition de la société des biens dont les associés sont locataires ou selon toutes autres modalités ;";"Retour déclarant";"0150Y";"0150Y";;;"SUCCES_ECHO"
"LA CREATION ET L'HEBERGEMENT DE SITES INTERNET";"6210Y";"6210Y";"6210Y";1;;"SUCCES_ECHO"
"LA CREATION ET L'HEBERGEMENT DE SITES INTERNET";"RAS";"6210Y";"6210Y";;;"SUCCES_ECHO"
"La création et la vente de supports pédagogiques audiovisuels ou écrits relatifs aux Tarot et aux domaines connexes du développement personnel et de la spiritualité ; L'organisation de stages, de séminaires et d'ateliers liés au bien-être, à la spiritualité, et à la santé ; La vente de produits liés au bien-être, à la santé et à la spiritualité (vêtements, accessoires et produits cosmétiques) ; La participation à des événements, des salons, des conférences et des collaborations avec d'autres professionnels du secteur";;;"8559H";;;"ERREUR_HTTP_200"
"La fabrication, la transformation, l'achat, la vente et la distribution de sucres, mélasses caramélisées et produits sucrés";"1081Y";"1089Y";"1089Y";;;"SUCCES_ECHO"
"La location (directement et/ou indirectement par l'intermédiaire de Brokers) de bateaux de plaisance avec équipage";"5010Y";"7721Y";"7721Y";;;"SUCCES_ECHO"
"LA LOCATION D'ENGINS ET D'INVESTISSEMENTS PRODUCTIFS NEUFS EN NOUVELLE-CALEDONIE ET DANS LES DEPARTEMENTS ET COLLECTIVITES D'OUTRE-MER.";"7739Y";"7739Y";;;;"SUCCES_ECHO"
"LA LOCATION D'ENGINS ET D'INVESTISSEMENTS PRODUCTIFS NEUFS EN NOUVELLE-CALEDONIE ET DANS LES DEPARTEMENTS ET COLLECTIVITES D'OUTRE-MER.";"/";"7739Y";;;;"SUCCES_ECHO"
"LA LOCATION D'ENGINS ET D'INVESTISSEMENTS PRODUCTIFS NEUFS EN NOUVELLE-CALEDONIE ET DANS LES DEPARTEMENTS ET COLLECTIVITES D'OUTRE-MER.";"7732Y";"7739Y";;;;"SUCCES_ECHO"
"LA LOCATION D'ENGINS ET D'INVESTISSEMENTS PRODUCTIFS NEUFS EN NOUVELLE-CALEDONIE ET DANS LES DEPARTEMENTS ET COLLECTIVITES D'OUTRE-MER.";;"7739Y";;;;"SUCCES_ECHO"
"LA PRISE DE PARTICIPATION PAR ACHAT, SOUSCRIPTION, APPORT, FUSION ET PAR TOUT AUTRE MOYEN, ET LA GESTION DE TOUTES VALEURS MOBILIERES, AINSI";"6630Y";"6630Y";"6630Y";;;"SUCCES_ECHO"
"LA PRISE DE PARTICIPATION PAR ACHAT, SOUSCRIPTION, APPORT, FUSION ET PAR TOUT AUTRE MOYEN, ET LA GESTION DE TOUTES VALEURS MOBILIERES, AINSI";"RAS";"6630Y";"6630Y";;;"SUCCES_ECHO"
"LA REALISATION DE TRAVAUX DE MACONNERIE GENERALE";"4391Y";"4391Y";"4391Y";1;;"SUCCES_ECHO"
"LA REALISATION DE TRAVAUX DE MACONNERIE GENERALE";"/";"4391Y";"4391Y";;;"SUCCES_ECHO"
"La vente au détail de tissus, de produits finis et accessoires liés à la décoration de la maison. La confection personnalisée de produits finis à partir de tissus. Tous services liés à la pose à domicile et au conseil personnalisé en décoration de la maison. La prise, l'acquisition, l'exploitation ou la cession de tous procédés et brevets concernant ces activités. Travaux de peinture en bâtiment et vitrerie. Travaux de revêtement des sols, des murs et des plafonds.";"4751Y";;;;;"ERREUR_HTTP_200"
"La vente et le commerce en ligne de chaussures, textiles et accessoires de mode, vêtements, équipements et accessoires de sport, exclusivement neufs";"4772G";;"4772G";;;"ERREUR_HTTP_200"
"La vente et le commerce en ligne des produits neufs : Chaussures, textiles et accessoires de mode, fournitures de bureau, jeux et jouets, ma";"4712H";"4791Y";"4712H";1;;"SUCCES_ECHO"
"La vente et le commerce en ligne et sur la voie publique de lingerie, maillot de bain, produits de confort menstruel, vêtements, linge de ma";"4712H";"4791Y";"4771Y";1;;"SUCCES_ECHO"
"Le commerce d'articles de maroquinerie, sellerie et accessoires de sellerie pour tous types de véhicules, de vêtements, de textiles, prêt à";"4649Y";"4771Y";"1512Y";;;"SUCCES_ECHO"
"Le négoce de vins, alcool, champagne et la vente des arts de la table.";"4725Y";"4634Y";"4634Y";;;"SUCCES_ECHO"
"Les services de conciergerie privée à destination des particuliers, avec prestations de ménage";"8121Y";"9699H";"8110Y";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE";"5320H";"5320H";"5320G";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE";"5320G";"5320H";"5320G";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE";"5320H";"5320H";"5320G";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE";"5320H";"5320H";"5320G";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE";"RAS";"5320H";"5320G";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE";"RAS";"5320H";"5320G";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE A VELO";"5320H";"5320H";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A DOMICILE A VELO";"RAS";"5320H";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"/";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"/";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";;"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"NC";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320G / 5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320G";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON A VELO";"5320H";"5320G";"5320H";;;"SUCCES_ECHO"
"LIVRAISON DE COLIS";"5320G";"5320G";"5320G";;;"SUCCES_ECHO"
"LIVRAISON DE COLIS";"5320G";"5320G";"5320G";1;;"SUCCES_ECHO"
"LIVRAISON DE COLIS";"5320G";"5320G";"5320G";;;"SUCCES_ECHO"
"LIVRAISON DE COLIS";"5320G";"5320G";"5320G";;;"SUCCES_ECHO"
"LIVRAISON DE COURSES A DOMICILE";"5320G";"5320H";"5320H";;;"SUCCES_ECHO"
"LIVRAISON DE COURSES A DOMICILE";"5320G";"5320H";"5320H";;;"SUCCES_ECHO"
"LIVRAISON DE COURSES A DOMICILE";"5320G";"5320H";"5320H";;;"SUCCES_ECHO"
"LIVRAISON DE COURSES A DOMICILE";"/";"5320H";"5320H";;;"SUCCES_ECHO"
"LIVRAISON DE COURSES A DOMICILE";"5320H";"5320H";"5320H";;;"SUCCES_ECHO"
